order_index;Unnamed: 0;Phase;Pilares;Recommendation;"Associated 
AWS Service";Guidance for assessments;How to check;SMM Link;Alignment to recommendation;Score;Comments;Normas Técnicas;Geral (Brasil);Finanças Públicas (BCB);Educação;Owner / Responsible;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36
1;1.1.1;Quick_Wins;Compliance;Foram designados contatos oficiais para responder a incidentes de segurança?;AWS Account / Audit Manager;"- Are security contacts defined for all accounts in your organization ?
- Is the information is current and correct ? (i.e.: not pointing to an ex-employee contact information)
- Are you using a distribution list as the email address to ensure its getting to more than one person ?";[Account.1] Security contact information should be provided for an AWS account;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;LGPD Art. 41;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
2;1.1.2;Quick_Wins;Control;Você utiliza políticas de controle para restringir a provisão de recursos apenas à região brasileira?;AWS Organizations (SCPs);;;;100% Aligned - Coverage throughout the organization;100%;;ISO/IEC 27001 (A.13);"CF Art. 5º; MCI Art. 11; LGPD";Res. BCB 454/2025;"LGPD; PL ECA Digital";;;;;;;;;;;;;;;;;;;;;;
3;1.2.1;Quick_Wins;Compliance;Você avalia continuamente a postura de segurança e conformidade da sua nuvem?;AWS Security Hub;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST CSF;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
4;1.3.1;Quick_Wins;Control;Todos os usuários possuem autenticação de múltiplos fatores (MFA) habilitada?;AWS IAM / MFA;;;;75% Aligned - Partial Coverage - Advanced;75%;;NIST CSF (PR.AC);LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
5;1.3.2;Quick_Wins;Control;"A conta ""Root"" está protegida e seu uso é monitorado e restrito?";AWS IAM;;;;100% Aligned - Coverage throughout the organization;100%;;CIS Controls v8;GSI/PR Normas;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
6;1.3.3;Quick_Wins;Control;Existe federação de identidade com provedores locais para evitar credenciais estáticas?;IAM Identity Center;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
7;1.3.4;Quick_Wins;Control;Acessos e permissões não utilizados são removidos periodicamente?;IAM Access Analyzer;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
8;1.4.1;Quick_Wins;Control;Há detecção automática de ameaças comuns (como exfiltração de dados)?;Amazon GuardDuty;;;;75% Aligned - Partial Coverage - Advanced;75%;;NIST CSF;LGPD;Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
9;1.4.2;Quick_Wins;Compliance;O registro de todas as chamadas de API é mantido de forma imutável para auditoria?;AWS CloudTrail;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27001 (A.12.4);MCI Art. 10;Res. BCB 70/2021;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
10;1.4.4;Quick_Wins;Compliance;Existem alertas configurados para desvios de custos que possam indicar anomalias?;AWS Budgets / Billing;;;;100% Aligned - Coverage throughout the organization;100%;;COBIT 2019;LRF (Brasil);LRF;LGPD (Riscos);;;;;;;;;;;;;;;;;;;;;;
11;1.6.1;Quick_Wins;Control;Portas administrativas (SSH/RDP) estão fechadas para a rede pública?;VPC Security Groups;"- Are you allowing unrestricted ingress access to administration ports (22/3389) ? If youre unsure you can leverage AWS Security Hubs controls EC2.13 & EC2.14
- How are you managing the administrative network access to your instances ?";"- [EC2.13] Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 22
- [EC2.14] Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 3389";;75% Aligned - Partial Coverage - Advanced;75%;;CIS Controls v8;GSI/PR Normas;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
12;1.7.1;Quick_Wins;Control;O acesso público aos buckets de dados está bloqueado globalmente?;S3 Block Public Access;"
    Do you have Amazon S3 Block Public Access enabled at account level in all the accounts in your organization ?
    If you need buckets to be public: What is your use case ? is that a public static website ? Why not protecting that data with an Amazon CloudFront distribution with AWS WAF rules enabled?
    Are there any public buckets that you do not have identified that they absolutely need to be public?
    If there are some public buckets: have you block public access at the bucket level for all other buckets in the account ?
    Have you enabled SCPs to prevent the removal of the BPA ?";"- [S3.1] S3 general purpose buckets should have block public access settings enabled (account-level)
- [S3.2] S3 general purpose buckets should block public read access(bucket-level)";;100% Aligned - Coverage throughout the organization;100%;;CIS Controls v8;"CF Art. 5º; LGPD";Res. BCB 287/2023;LGPD;;;;;;;;;;;;;;;;;;;;;;
13;1.7.2;Quick_Wins;Compliance;A postura de segurança dos dados sensíveis é analisada continuamente?;Amazon Macie;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27018;LGPD Art. 5º;Res. BCB 287/2023;LGPD;;;;;;;;;;;;;;;;;;;;;;
14;1.8.1;Quick_Wins;Compliance;Vulnerabilidades críticas encontradas são corrigidas em prazos regulatórios?;AWS Security Hub;"- Is a WAF protecting all your applications ? which one ? how is it deployed ?
- Have you deployed AWS WAF consistently across all applications in the organization ?
- Are you using AWS Firewall Manager to ensure a default WebACL is defined for all Cloudfront distributions, Application Load balancers and API gateways?
- Are the rules configured in Block? (or only count?)
- Which managed rules are active ?";[WAF.10] AWS WAF web ACLs should have at least one rule or rule group;;25% Aligned - Partial Coverage - Starting;25%;;NIST CSF;GSI/PR Normas;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
15;1.9.1;Quick_Wins;Continuity;Você utiliza proteção de borda contra ataques comuns à disponibilidade?;AWS WAF;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27031;MCI Art. 3º;Res. BCB 498/2025;MCI;;;;;;;;;;;;;;;;;;;;;;
16;1.10.1;Quick_Wins;Continuity;A resiliência operacional do ambiente foi avaliada contra metas de recuperação?;AWS Resilience Hub;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 22301;ISO 22301;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
17;2.1.1;Foundational;Compliance;Os requisitos regulatórios de soberania (LGPD/BCB) estão mapeados e documentados?;AWS Artifact;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27701;LGPD Art. 33;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
18;2.1.2;Foundational;Compliance;Há um plano de treinamento em segurança focado em soberania para o time?;AWS Skill Builder;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
19;2.2.1;Foundational;Compliance;O inventário de ativos e mudanças de configuração é monitorado em tempo real?;AWS Config;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;ISO 27001;Res. BCB 70/2021;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
20;2.3.1;Foundational;Control;Você aplica guardrails organizacionais mandatórios via Landing Zone em todas as contas?;AWS Control Tower;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;CF Art. 5º;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
21;2.3.2;Foundational;Control;São utilizadas credenciais temporárias para eliminar chaves estáticas?;AWS STS / IAM Roles;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;LGPD;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
22;2.3.3;Foundational;Control;As instâncias EC2 utilizam a versão mais segura do serviço de metadados (IMDSv2)?;Amazon EC2;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST SP 800-53;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
23;2.4.1;Foundational;Control;Há detecção avançada de ameaças em logs de rede e DNS?;Amazon GuardDuty;;;;25% Aligned - Partial Coverage - Starting;25%;;NIST CSF;LGPD;Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
24;2.5.1;Foundational;Compliance;As vulnerabilidades de infraestrutura (OS) são escaneadas automaticamente?;Amazon Inspector;;;;50% Aligned - Partial Coverage - Medium;50%;;NIST SP 800-171;Res. BCB 498/2025;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
25;2.5.2;Foundational;Compliance;Vulnerabilidades em bibliotecas de aplicações são detectadas no pipeline?;Amazon Inspector;;;;25% Aligned - Partial Coverage - Starting;25%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
26;2.6.1;Foundational;Control;O acesso à rede é limitado ao estritamente necessário (Zero Trust inicial)?;Amazon VPC / NACLs;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
27;2.6.2;Foundational;Control;Você utiliza hardware que elimina o mecanismo de acesso técnico do provedor?;AWS Nitro System;;;;75% Aligned - Partial Coverage - Advanced;75%;;NIST SP 800-53;Lei 4595/1964;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
28;2.6.3;Foundational;Control;Os ambientes de rede estão devidamente segmentados (VPCs distintas)?;Amazon VPC;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
29;2.6.4;Foundational;Control;Cargas de trabalho são segregadas em contas distintas por sensibilidade?;AWS Organizations;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
30;2.7.1;Foundational;Control;Os dados em repouso são criptografados com chaves gerenciadas por você (CMK)?;AWS KMS;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27018;LGPD Art. 46;IN BCB 305/2022;LGPD;;;;;;;;;;;;;;;;;;;;;;
31;2.7.2;Foundational;Continuity;Os backups são protegidos contra exclusão e mantidos em região soberana?;AWS Backup;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 22301;ISO 22301;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
32;2.7.3;Foundational;Compliance;Há um processo automatizado para descobrir dados sensíveis ou PII de menores?;Amazon Macie;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27701;LGPD Art. 5º;Res. BCB 287/2023;PL ECA Digital;;;;;;;;;;;;;;;;;;;;;;
33;2.8.1;Foundational;Compliance;Práticas de segurança são integradas desde o início do desenvolvimento?;AWS CodePipeline;;;;75% Aligned - Partial Coverage - Advanced;75%;;GSI/PR Normas;GSI/PR;Res. BCB 498/2025;GSI/PR;;;;;;;;;;;;;;;;;;;;;;
34;2.8.2;Foundational;Control;Existe garantia de que não há segredos (senhas/chaves) expostos no código?;AWS Secrets Manager;"- Are you leveraging roles (such as EC2 instance profiles or Lambda execution roles) for temporary access in your applications ' (which porcentage of your applications use roles vs durable credentials?)
- Are your developers trained to understand that they should not be storing secrets in code ?
- Are you controling that no secrets are stored in code ?
- Are you leveraging AWS Secrets Manager to store & rotate secrets such as Database passwords ?";;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27001;Res. BCB 498/2025;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
35;2.9.1;Foundational;Continuity;Existem playbooks de resposta a incidentes de segurança validados?;AWS Incident Manager;;;;25% Aligned - Partial Coverage - Starting;25%;;ISO/IEC 27031;LGPD Art. 48;Res. BCB 70/2021;LGPD;;;;;;;;;;;;;;;;;;;;;;
36;2.10.1;Foundational;Continuity;Você utiliza múltiplas zonas de disponibilidade para garantir alta disponibilidade?;AWS Global Infrastructure;;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27031;ISO 27031;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
37;3.1.1;Efficient;Continuity;Você utiliza arquiteturas resilientes baseadas em Princípios de Design Soberano?;Well-Architected Tool;;;;75% Aligned - Partial Coverage - Advanced;75%;;ISO/IEC 27031;ISO 27031;Res. BCB 70/2021;ISO 22301;;;;;;;;;;;;;;;;;;;;;;
38;3.1.2;Efficient;Continuity;Você utiliza infraestrutura como código para garantir portabilidade regional?;Landing Zone Accelerator (LZA);;;;50% Aligned - Partial Coverage - Medium;50%;;ISO/IEC 27031;MCI Art. 3º;Res. BCB 454/2025;MCI;;;;;;;;;;;;;;;;;;;;;;
39;3.1.3;Efficient;Compliance;"Existe uma estratégia de ""tagging"" para identificar dados por jurisdição?";Tag Editor / AWS Config;;;;50% Aligned - Partial Coverage - Medium;50%;;COBIT 2019;LRF (Brasil);LRF;LGPD;;;;;;;;;;;;;;;;;;;;;;
40;3.2.1;Efficient;Compliance;Você gera relatórios de conformidade automatizados para órgãos reguladores?;AWS Audit Manager;;;;75% Aligned - Partial Coverage - Advanced;75%;;COBIT 2019;LGPD;Res. BCB 498/2025;LGPD;;;;;;;;;;;;;;;;;;;;;;
41;3.3.1;Efficient;Control;São realizadas revisões periódicas para garantir o privilégio mínimo de acesso?;IAM Access Analyzer;;;;100% Aligned - Coverage throughout the organization;100%;;ISO/IEC 27001;LGPD;Res. BCB 498/2025;ISO 27001;;;;;;;;;;;;;;;;;;;;;;
